2	9	5
40	39	
0.72	0.74	0.71	0.73	0.69	
0.70	0.77	0.67	0.79	0.81	
0.63	0.72	0.70	0.67	0.80	
0.72	0.80	0.73	0.64	0.80	
0.76	0.74	0.72	0.73	0.78	
0.66	0.61	0.67	0.68	0.75	
0.80	0.81	0.71	0.70	0.74	
0.69	0.72	0.71	0.70	0.69	
0.67	0.64	0.78	0.65	0.65	

2.67	4.81	4.63	2.82	2.82	
4.13	2.07	4.73	2.41	3.09	
4.33	2.79	2.45	2.20	2.11	
3.63	2.83	3.89	2.42	3.21	
2.19	4.37	3.12	3.84	2.99	
2.64	4.00	2.74	3.09	2.99	
3.08	2.30	3.43	4.72	2.89	
4.52	2.48	4.23	4.51	2.97	
4.75	3.46	3.38	3.67	1.95	

3.57	1.95	1.90	2.89	3.04	
1.96	2.68	3.08	3.80	4.41	
4.71	2.99	2.62	2.42	3.99	
2.93	3.35	3.73	2.47	4.09	
2.35	4.74	4.29	3.70	2.47	
2.16	4.57	4.58	4.77	2.43	
4.00	2.58	3.31	2.18	2.52	
2.72	4.53	3.20	4.64	3.37	
4.36	2.04	2.70	2.20	3.67	

