2	12	3
55	46	
0.67	0.76	0.75	
0.64	0.60	0.74	
0.74	0.67	0.64	
0.67	0.72	0.62	
0.74	0.74	0.72	
0.75	0.61	0.64	
0.72	0.76	0.59	
0.72	0.71	0.66	
0.63	0.69	0.59	
0.62	0.65	0.63	
0.60	0.63	0.71	
0.61	0.70	0.62	

2.42	2.99	2.94	
2.71	3.33	2.80	
4.58	3.74	2.77	
3.79	4.07	3.36	
3.31	3.15	3.48	
4.33	3.41	4.26	
3.58	2.15	4.51	
1.95	4.57	3.04	
2.00	3.40	3.30	
2.98	3.01	2.88	
4.52	1.92	3.16	
1.69	3.71	3.09	

1.65	4.12	2.47	
1.97	3.05	3.52	
2.89	1.67	4.49	
3.95	2.06	1.66	
3.65	4.56	3.07	
2.06	1.68	4.53	
3.29	2.25	2.99	
3.59	4.20	4.32	
3.90	2.36	1.90	
4.32	1.92	4.51	
2.95	1.66	3.45	
3.96	2.43	2.56	

