2	12	3
39	41	
0.75	0.60	0.70	
0.72	0.61	0.65	
0.64	0.77	0.59	
0.71	0.72	0.60	
0.69	0.68	0.65	
0.70	0.59	0.76	
0.78	0.63	0.66	
0.78	0.65	0.67	
0.73	0.62	0.68	
0.78	0.60	0.74	
0.68	0.67	0.77	
0.59	0.63	0.65	

3.30	3.03	3.13	
1.63	4.24	3.65	
2.04	3.13	3.41	
1.89	2.02	2.21	
3.88	1.55	2.51	
3.90	2.99	2.64	
2.70	3.98	1.77	
2.18	3.02	2.22	
1.79	1.67	1.46	
2.52	1.51	1.98	
1.48	2.55	2.13	
2.21	4.31	2.32	

1.94	3.11	1.90	
2.83	2.86	1.99	
1.60	1.42	3.60	
2.34	4.10	1.99	
1.89	3.82	3.38	
3.90	3.15	4.07	
1.39	2.14	1.92	
4.30	2.64	4.08	
2.95	1.90	3.35	
3.99	2.25	3.49	
3.95	1.89	2.93	
1.80	2.38	3.51	

