2	12	3
63	57	
0.71	0.61	0.63	
0.66	0.70	0.68	
0.79	0.60	0.78	
0.75	0.66	0.66	
0.60	0.67	0.59	
0.77	0.64	0.64	
0.72	0.73	0.76	
0.71	0.62	0.70	
0.78	0.69	0.72	
0.59	0.66	0.78	
0.74	0.75	0.65	
0.77	0.69	0.78	

2.61	3.27	2.13	
2.34	2.52	3.49	
2.43	4.05	2.29	
2.40	3.27	2.61	
2.88	3.15	4.04	
4.42	4.38	2.64	
4.93	3.08	4.03	
2.50	3.84	2.34	
3.54	2.92	4.94	
4.54	3.53	3.71	
3.08	4.19	3.57	
3.56	2.95	2.25	

3.66	4.25	2.25	
4.19	2.88	4.46	
2.35	2.59	4.17	
2.71	2.02	2.34	
2.47	3.02	3.95	
2.61	4.37	4.42	
2.93	4.25	4.76	
4.66	4.50	2.97	
3.84	3.25	2.21	
3.95	3.29	2.31	
3.00	4.77	2.12	
3.43	3.69	1.96	

