2	12	3
49	43	
0.76	0.68	0.78	
0.63	0.67	0.60	
0.68	0.64	0.60	
0.64	0.63	0.78	
0.66	0.64	0.72	
0.70	0.75	0.70	
0.61	0.69	0.61	
0.59	0.66	0.78	
0.78	0.75	0.65	
0.78	0.65	0.76	
0.60	0.76	0.66	
0.76	0.76	0.72	

3.92	2.91	3.73	
2.02	3.62	4.25	
3.66	2.35	1.90	
2.83	1.92	3.83	
4.30	4.11	2.45	
1.90	2.33	4.53	
3.28	3.50	2.72	
3.67	4.41	3.65	
2.39	4.16	3.73	
2.68	4.36	4.18	
2.99	1.96	1.73	
1.72	2.18	4.43	

1.86	2.16	1.77	
3.89	2.23	3.30	
2.13	4.52	2.93	
3.05	2.52	3.29	
3.02	2.40	2.02	
2.73	3.01	2.36	
1.64	2.26	1.83	
3.15	3.21	2.02	
2.43	1.55	2.12	
3.57	4.07	2.12	
2.61	2.58	1.65	
2.96	2.23	2.72	

