2	9	4
34	32	
0.67	0.72	0.77	0.74	
0.78	0.63	0.72	0.66	
0.71	0.60	0.61	0.62	
0.64	0.67	0.69	0.60	
0.66	0.68	0.70	0.63	
0.66	0.62	0.65	0.76	
0.76	0.63	0.60	0.68	
0.77	0.74	0.69	0.76	
0.78	0.76	0.68	0.70	

4.37	4.11	2.30	4.31	
2.46	2.37	2.76	4.32	
2.43	4.13	3.05	3.22	
3.32	2.43	3.33	2.25	
1.58	4.41	2.21	3.50	
2.66	4.20	2.91	1.89	
3.65	3.89	4.24	3.16	
1.62	1.67	4.46	2.78	
2.90	1.91	3.43	3.58	

2.81	3.01	4.13	2.37	
2.72	1.84	2.80	2.14	
3.75	3.94	3.02	3.77	
1.86	4.36	2.39	2.89	
1.60	3.95	2.38	4.45	
2.32	2.03	4.07	2.16	
1.94	3.36	1.90	4.03	
3.20	2.93	4.34	1.95	
1.69	3.84	3.90	1.69	

